CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
2534,2,1.7898,2,34.7536,2,200.7,2,12,7806.1,0.207,2,0,2,I8S-S45
2536,2,1.7899,2,34.7534,2,200.6,2,24,7806.8,0.204,2,0,2,I8S-S45
2538,2,1.7898,2,34.7531,2,200.6,2,24,7807.8,0.207,2,0,2,I8S-S45
2540,2,1.7845,2,34.7531,2,200.7,2,36,7809.1,0.209,2,0,2,I8S-S45
2542,2,1.7811,2,34.7531,2,200.7,2,60,7811,0.205,2,0,2,I8S-S45
2544,2,1.7806,2,34.7529,2,200.8,2,72,7813.8,0.21,2,0,2,I8S-S45
2546,2,1.7789,2,34.7528,2,200.8,2,108,7817.5,0.207,2,0,2,I8S-S45
2548,2,1.7779,2,34.7529,2,200.8,2,48,7820.8,0.207,2,0,2,I8S-S45
2550,2,1.7771,2,34.7529,2,200.7,2,36,7822.5,0.21,2,0,2,I8S-S45
2552,2,1.7748,2,34.7527,2,200.8,2,24,7823.8,0.207,2,0,2,I8S-S45
2554,2,1.7725,2,34.7526,2,200.8,2,24,7824.8,0.21,2,0,2,I8S-S45
2556,2,1.7711,2,34.7526,2,200.9,2,24,7825.8,0.21,2,0,2,I8S-S45
2558,2,1.7706,2,34.7525,2,201,2,24,7826.8,0.212,2,0,2,I8S-S45
2560,2,1.7666,2,34.7523,2,201,2,36,7828,0.215,2,0,2,I8S-S45
2562,2,1.7653,2,34.7519,2,201.1,2,96,7830.8,0.207,2,0,2,I8S-S45
2564,2,1.7625,2,34.7519,2,201.1,2,96,7835.2,0.207,2,0,2,I8S-S45
2566,2,1.7579,2,34.7519,2,201,2,24,7838.8,0.213,2,0,2,I8S-S45
2568,2,1.7545,2,34.7519,2,201,2,36,7840.1,0.206,2,0,2,I8S-S45
2570,2,1.7521,2,34.7518,2,200.9,2,24,7841.3,0.209,2,0,2,I8S-S45
2572,2,1.75,2,34.752,2,201,2,24,7842.3,0.211,2,0,2,I8S-S45
2574,2,1.7503,2,34.752,2,201,2,24,7843.3,0.208,2,0,2,I8S-S45
2576,2,1.7466,2,34.7517,2,201.1,2,36,7844.6,0.211,2,0,2,I8S-S45
2578,2,1.7431,2,34.7516,2,201.1,2,36,7846.1,0.204,2,0,2,I8S-S45
2580,2,1.7419,2,34.7514,2,201.2,2,72,7848.8,0.208,2,0,2,I8S-S45
2582,2,1.7413,2,34.7517,2,201.2,2,36,7853.5,0.208,2,0,2,I8S-S45
2584,2,1.7386,2,34.7517,2,201.2,2,24,7854.8,0.211,2,0,2,I8S-S45
2586,2,1.7381,2,34.7516,2,201.2,2,36,7856,0.207,2,0,2,I8S-S45
2588,2,1.7381,2,34.7515,2,201.2,2,48,7857.8,0.212,2,0,2,I8S-S45
2590,2,1.7379,2,34.7518,2,201.2,2,36,7859.6,0.206,2,0,2,I8S-S45
2592,2,1.7374,2,34.7517,2,201.2,2,36,7861.1,0.207,2,0,2,I8S-S45
2594,2,1.7374,2,34.7514,2,201.2,2,84,7863.5,0.211,2,0,2,I8S-S45
2596,2,1.7357,2,34.7518,2,201.2,2,24,7865.8,0.209,2,0,2,I8S-S45
2598,2,1.7355,2,34.7518,2,201.2,2,24,7866.8,0.208,2,0,2,I8S-S45
2600,2,1.733,2,34.7518,2,201.3,2,36,7868,0.205,2,0,2,I8S-S45
2602,2,1.7319,2,34.7514,2,201.3,2,60,7870.5,0.204,2,0,2,I8S-S45
2604,2,1.7249,2,34.751,2,201.4,2,48,7874.8,0.21,2,0,2,I8S-S45
2606,2,1.7179,2,34.7509,2,201.3,2,60,7877,0.209,2,0,2,I8S-S45
2608,2,1.7161,2,34.7509,2,201.3,2,24,7878.8,0.213,2,0,2,I8S-S45
