CTDPRS_DBAR,CTDPRS_FLAG_W,CTDTMP_ITS-90,CTDTMP_FLAG_W,CTDSAL_PSS-78,CTDSAL_FLAG_W,CTDOXY_UMOL_KG,CTDOXY_FLAG_W,CTDCDOMFRAW_0-5VDC,CTDCDOMFRAW_FLAG_W,CTDBEAMCP_METER,CTDBEAMCP_FLAG_W,StationID
186,2,19.4777,2,35.8397,2,208.1,2,0.148,1,0.0104,2,I9N-S101
188,2,19.4168,2,35.8349,2,207.4,2,0.15,1,0.0096,2,I9N-S101
190,2,19.2566,2,35.825,2,207,2,0.147,1,0.0084,2,I9N-S101
192,2,19.2291,2,35.8295,2,205.8,2,0.151,1,0.0076,2,I9N-S101
194,2,19.22,2,35.8301,2,205.7,2,0.147,1,0.0072,2,I9N-S101
196,2,19.1349,2,35.8369,2,206.3,2,0.151,1,0.0068,2,I9N-S101
198,2,19.0561,2,35.8355,2,206.1,2,0.152,1,0.006,2,I9N-S101
200,2,18.9348,2,35.8365,2,205.6,2,0.149,1,0.006,2,I9N-S101
202,2,18.8593,2,35.8362,2,205.5,2,0.148,1,0.006,2,I9N-S101
204,2,18.8266,2,35.8373,2,206,2,0.153,1,0.006,2,I9N-S101
206,2,18.7472,2,35.8391,2,206.2,2,0.149,1,0.006,2,I9N-S101
208,2,18.7161,2,35.8461,2,205.6,2,0.15,1,0.0056,2,I9N-S101
210,2,18.6885,2,35.848,2,205.2,2,0.15,1,0.0052,2,I9N-S101
212,2,18.5713,2,35.8458,2,205.6,2,0.156,1,0.0052,2,I9N-S101
214,2,18.5009,2,35.8448,2,205.3,2,0.152,1,0.0052,2,I9N-S101
216,2,18.4032,2,35.8398,2,205.1,2,0.151,1,0.0052,2,I9N-S101
218,2,18.3172,2,35.8345,2,205.5,2,0.156,1,0.0052,2,I9N-S101
220,2,18.2914,2,35.831,2,205.6,2,0.153,1,0.0052,2,I9N-S101
222,2,18.2648,2,35.8328,2,205.5,2,0.154,1,0.0052,2,I9N-S101
224,2,18.2118,2,35.8339,2,205.7,2,0.153,1,0.0052,2,I9N-S101
226,2,18.1353,2,35.8291,2,205.8,2,0.152,1,0.0052,2,I9N-S101
228,2,18.1027,2,35.8285,2,206,2,0.156,1,0.0052,2,I9N-S101
230,2,18.0396,2,35.8336,2,206.2,2,0.151,1,0.0052,2,I9N-S101
