DNA_ID,DNA_Concentration,Depth,Latitude,Autotroph,Autotroph_Normalized,Other,Other_Normalized,Stations,Latitude_Round,Zone
P16N-S40-N10,12.4,24.2522926,18,0.235970857,0.019029908,0.764029143,0.061615253,P16N-S40,18,Euphotic
P16N-S40-N09,12.30511421,46.81229975,18,0.25395494,0.020638162,0.74604506,0.060628861,P16N-S40,18,Euphotic
P16N-S40-N06,13.43115558,113.3846382,18,0.254616053,0.018957122,0.745383947,0.055496636,P16N-S40,18,Euphotic
P16N-S40-N05,10.89174681,142.6894948,18,0.096422216,0.008852778,0.903577784,0.082959859,P16N-S40,18,Euphotic
P16N-S40-N04,6.201479547,177.9491203,18,0.013964442,0.002251792,0.986035558,0.15900005,P16N-S40,18,Aphotic
P16N-S40-N03,3.837484251,219.7562199,18,0.001960972,0.000511004,0.998039028,0.260076384,P16N-S40,18,Aphotic
P16N-S40-N02,3.637550607,273.368096,18,0.000571639,0.00015715,0.999428361,0.274753115,P16N-S40,18,Aphotic
P16N-S47-N12-200731-run063,6.11,19.77106957,24.9995,0.343244823,0.056177549,0.656755177,0.107488572,P16N-S47,25,Euphotic
P16N-S47-N11-200731-run063,5.66,39.93758168,24.9995,0.416757682,0.073632099,0.583242318,0.103046346,P16N-S47,25,Euphotic
P16N-S47-N08-200731-run063,2.62,105.6884861,24.9995,0.446427852,0.17039231,0.553572148,0.21128708,P16N-S47,25,Euphotic
P16N-S47-N06-200731-run063,5.09,176.1834214,24.9995,0.015577519,0.003060416,0.984422481,0.193403238,P16N-S47,25,Aphotic
P16N-S47-N05-200731-run063,3.12,227.1034469,24.9995,0.007770542,0.002490558,0.992229458,0.318022262,P16N-S47,25,Aphotic
P16N-S47-N03-200731-run063,1.35,549.305069,24.9995,0.004958026,0.003672612,0.995041974,0.737068129,P16N-S47,25,Aphotic
P16N-S47-N01,1.1,949.0540761,24.9995,0.003170382,0.002882166,0.996829618,0.906208743,P16N-S47,25,Aphotic
P16N-S51-N12,9.072962032,20.85768103,28.9915,0.221162963,0.024376049,0.778837037,0.08584154,P16N-S51,28.99,Euphotic
P16N-S51-N11,7.371486911,39.92570173,28.9916,0.256520098,0.034798963,0.743479902,0.100858878,P16N-S51,28.99,Euphotic
P16N-S51-N08,8.109044309,106.4512548,28.9917,0.100658421,0.012413105,0.899341579,0.110905989,P16N-S51,28.99,Euphotic
P16N-S51-N06,4.888439885,178.0166008,28.9919,0.040492941,0.008283408,0.959507059,0.196280834,P16N-S51,28.99,Euphotic
P16N-S51-N05,3.182216986,224.6546545,28.9919,0.002839964,0.000892448,0.997160036,0.313353879,P16N-S51,28.99,Aphotic
P16N-S51-N04,1.984662967,276.4402661,28.992,0.002039864,0.001027814,0.997960136,0.502836075,P16N-S51,28.99,Aphotic
P16N-S51-N03,1.437307647,549.0425577,28.993,0.003064865,0.002132365,0.996935135,0.693612907,P16N-S51,28.99,Aphotic
P16N-S51-N01,0.8,950.452449,28.9939,0.006879294,0.008599118,0.993120706,1.241400882,P16N-S51,28.99,Aphotic
P16N-S55-N12,8.778064829,21.5458736,32.9997,0.221075307,0.025184971,0.778924693,0.088735354,P16N-S55,33,Euphotic
P16N-S55-N11,10.00355449,43.08948002,32.9997,0.238271244,0.023818658,0.761728756,0.07614581,P16N-S55,33,Euphotic
P16N-S55-N08,10.07775037,108.0044388,32.9997,0.047390927,0.00470253,0.952609073,0.094525964,P16N-S55,33,Euphotic
P16N-S55-N06,4.56587642,177.4625241,32.9997,0.008310726,0.001820182,0.991689274,0.21719582,P16N-S55,33,Aphotic
P16N-S55-N05,3.498210213,225.5732798,32.9997,0.001986948,0.00056799,0.998013052,0.285292476,P16N-S55,33,Aphotic
P16N-S55-N04,3.373083255,275.9535061,32.9997,0.001724062,0.000511123,0.998275938,0.295953542,P16N-S55,33,Aphotic
P16N-S55-N03,1.523845143,552.7257805,32.9997,0.000984784,0.000646249,0.999015216,0.655588411,P16N-S55,33,Aphotic
P16N-S55-N01,0.895066458,951.2300142,32.9997,0.004154637,0.004641708,0.995845363,1.112593768,P16N-S55,33,Aphotic
P16N-S61-N12,19.75905578,24.70996579,39,0.141091318,0.00714059,0.858908682,0.043469116,P16N-S61,39,Euphotic
P16N-S61-N11,17.36969678,38.00646355,39,0.13170464,0.007582437,0.86829536,0.049989091,P16N-S61,39,Euphotic
P16N-S61-N08,15.363264,103.8808509,39,0.106653722,0.006942127,0.893346278,0.058148208,P16N-S61,39,Euphotic
P16N-S61-N05,6.544014162,201.6613118,39,0.002088235,0.000319106,0.997911765,0.152492299,P16N-S61,39,Aphotic
P16N-S61-N04,4.621208944,252.8138684,39,0.002192533,0.00047445,0.997807467,0.215919141,P16N-S61,39,Aphotic
P16N-S61-N03,3.564231975,501.456206,39,0.000823643,0.000231086,0.999176357,0.280334267,P16N-S61,39,Aphotic
P16N-S61-N01,1.471656512,998.6365024,39,0.00086661,0.000588867,0.99913339,0.67891752,P16N-S61,39,Aphotic
P16N-S66-N12,17.70986605,22.71284748,45.0022,0.159063884,0.008981654,0.840936116,0.047484047,P16N-S66,45,Euphotic
P16N-S66-N11,13.5341468,37.19221095,45.0022,0.124109179,0.009170078,0.875890821,0.064717107,P16N-S66,45,Euphotic
P16N-S66-N08,15.7820306,104.418574,45.0022,0.085748757,0.005433316,0.914251243,0.057929887,P16N-S66,45,Euphotic
P16N-S66-N06,7.670156787,154.3778627,45.0021,0.004475509,0.000583496,0.995524491,0.129791935,P16N-S66,45,Aphotic
P16N-S66-N05,6.005150829,203.5322637,45.0022,0.004590482,0.000764424,0.995409518,0.165759287,P16N-S66,45,Aphotic
P16N-S66-N04,5.939129067,251.981437,45.0021,0.002582309,0.000434796,0.997417691,0.16794006,P16N-S66,45,Aphotic
P16N-S66-N03,3.656662441,500.5868858,45.0022,0.0012369,0.000338259,0.9987631,0.273135165,P16N-S66,45,Aphotic
P16N-S66-N01,1.603071257,1002.924334,45.0022,0.000514249,0.00032079,0.999485751,0.623481799,P16N-S66,45,Aphotic
P16N-S72-N12,25.65888618,22.30387565,50.9998,0.176899776,0.006894289,0.823100224,0.032078564,P16N-S72,51,Euphotic
P16N-S72-N11,21.66551275,41.73104649,50.9998,0.130842503,0.006039206,0.869157497,0.040117098,P16N-S72,51,Euphotic
P16N-S72-N08,8.320313947,107.5318347,50.9998,0.01593942,0.001915723,0.98406058,0.118272049,P16N-S72,51,Aphotic
P16N-S72-N06,5.025513638,176.6791521,50.9998,0.002543933,0.000506203,0.997456067,0.198478432,P16N-S72,51,Aphotic
P16N-S72-N05,4.716154525,225.3060615,50.9998,0.002246974,0.000476442,0.997753026,0.211560716,P16N-S72,51,Aphotic
P16N-S72-N04,3.818887342,276.0004698,50.9998,0.001875394,0.000491084,0.998124606,0.261365292,P16N-S72,51,Aphotic
P16N-S72-N03,2.106722983,549.4555604,50.9998,0.001347987,0.00063985,0.998652013,0.474031005,P16N-S72,51,Aphotic
P16N-S72-N01,1.575404995,949.0936422,50.9998,0.001992516,0.001264764,0.998007484,0.63349265,P16N-S72,51,Aphotic
P16S-S05-N12,6.920652594,20.07792215,-18,0.371510567,0.053681436,0.628489433,0.090813608,P16S-S05,-18,Euphotic
P16S-S05-N11,7.116831544,34.58846307,-18,0.389497587,0.054729072,0.610502413,0.085782895,P16S-S05,-18,Euphotic
P16S-S05-N10,8.288246234,54.4642494,-18,0.401833585,0.048482342,0.598166415,0.072170444,P16S-S05,-18,Euphotic
P16S-S05-N08,7.131293454,89.93774111,-18,0.443333875,0.062167386,0.556666125,0.07805963,P16S-S05,-18,Euphotic
P16S-S05-N15,7.749382901,119.5439721,-18,0.264357182,0.03411332,0.735642818,0.094929213,P16S-S05,-18,Euphotic
P16S-S05-N14,2.638669751,168.8119953,-18,0.078722817,0.029834282,0.921277183,0.349144558,P16S-S05,-18,Euphotic
P16S-S05-N05,2.099177639,218.0682118,-18,0.013764915,0.006557289,0.986235085,0.469819736,P16S-S05,-18,Aphotic
P16S-S05-N03,1.093131744,437.8893294,-18,0.002116636,0.001936304,0.997883364,0.912866514,P16S-S05,-18,Aphotic
P16S-S104-N31,27.5937132,1.980047676,-67.5007,0.082686095,0.002996556,0.917313905,0.033243583,P16S-S104,-67.5,Euphotic
P16S-S104-N30,25.54645315,39.00340198,-67.5007,0.049682576,0.001944794,0.950317424,0.037199584,P16S-S104,-67.5,Euphotic
P16S-S104-N29,14.523308,58.89820736,-67.5007,0.048732432,0.003355464,0.951267568,0.065499373,P16S-S104,-67.5,Euphotic
P16S-S104-N28,6.521168423,93.83315326,-67.5007,0.066437714,0.010188008,0.933562286,0.143158745,P16S-S104,-67.5,Euphotic
P16S-S104-N27,4.898259224,123.6171604,-67.5007,0.051984914,0.010612936,0.948015086,0.193541224,P16S-S104,-67.5,Aphotic
P16S-S104-N25,3.971737701,223.3274028,-67.5007,0.022341103,0.00562502,0.977658897,0.246153943,P16S-S104,-67.5,Aphotic
P16S-S104-N23,1.70631609,323.0880133,-67.5007,0.017130894,0.010039695,0.982869106,0.57601819,P16S-S104,-67.5,Aphotic
P16S-S104-N21,2.535729111,422.7013932,-67.5007,0.009719069,0.00383285,0.990280931,0.390531042,P16S-S104,-67.5,Aphotic
P16S-S15-N12,6.22962482,14.20949039,-23,0.211266428,0.033913186,0.788733572,0.126610124,P16S-S15,-23,Euphotic
P16S-S15-N11,6.443409573,39.24759252,-23,0.313555115,0.048662919,0.686444885,0.106534417,P16S-S15,-23,Euphotic
P16S-S15-N10,7.390350272,63.98461806,-23,0.404776622,0.054770966,0.595223378,0.080540618,P16S-S15,-23,Euphotic
P16S-S15-N09,9.921184478,84.6461914,-23,0.432178423,0.043561172,0.567821577,0.057233244,P16S-S15,-23,Euphotic
P16S-S15-N08,9.688536365,105.3056839,-23,0.338680795,0.034956859,0.661319205,0.068257906,P16S-S15,-23,Euphotic
P16S-S15-N15,7.792139851,134.007008,-23,0.385971473,0.049533438,0.614028527,0.078801015,P16S-S15,-23,Euphotic
