SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P15S-2016-5433	P15S	5433	29/5/16	12:44	-41.27	-173.65	62	3278	15.41	35.11	243	0.21	0.1	0.03	0.13		0.18		0.24
P15S-2016-5434	P15S	5434	29/5/16	12:44	-41.27	-173.65	39.9	3278	15.41	35.11	243	0.22	0.09	0.05	0.14		0.18		0.24
P15S-2016-5436	P15S	5436	29/5/16	12:44	-41.27	-173.65	6.3	3278	15.4	35.11	243.2	0.18	0.09	0.03	0.12	0.04	0.18		0.24
P15S-2016-5702	P15S	5702	30/5/16	8:58	-39.97	-172.7	4759.7	4648	0.98	34.71	207.8	122.14	0.01	32.32	32.33		2.22		
P15S-2016-5724	P15S	5724	30/5/16	8:58	-39.97	-172.7	562.9	4648	7.87	34.49	225.1	7.29	0.01	21.25	21.26		1.44		
P15S-2016-5731	P15S	5731	30/5/16	8:58	-39.97	-172.7	133.6	4648	11.96	34.95	234.9	1.49	0.03	7.87	7.9	0.01	0.63		
P15S-2016-5733	P15S	5733	30/5/16	8:58	-39.97	-172.7	67.3	4648	15.63	35.18	242.7	0.39	0.08	0.07	0.15		0.16		
P15S-2016-5734	P15S	5734	30/5/16	8:58	-39.97	-172.7	41.4	4648	15.63	35.18	242.9	0.39	0.07	0.06	0.13		0.16		
P15S-2016-5736	P15S	5736	30/5/16	8:58	-39.97	-172.7	9.3	4648	15.63	35.18	242.9	0.41	0.07	0.06	0.13	0.02	0.16		
P15S-2016-601	P15S	601	6/5/16	5:45	-63.99	-170.05	2829	2790	0.77	34.71	207.1	128.03	0.01	32.39	32.4		2.26		
P15S-2016-606	P15S	606	6/5/16	5:45	-63.99	-170.05	2000.8	2790	0.89	34.71	204.7	117	0.01	32.03	32.04		2.24		
P15S-2016-630	P15S	630	6/5/16	7:25	-63.99	-170.06	98.1	2809	0.27	34.14	304.1	55.03	0.2	30.21	30.41	0.73	2.14		
P15S-2016-633	P15S	633	6/5/16	5:45	-63.99	-170.05	49.4	2790	0.12	34.09	326.6	51.3	0.27	28.9	29.17		2.05		
P15S-2016-634	P15S	634	6/5/16	5:45	-63.99	-170.05	25.6	2790	0.12	34.09	327.1	51.27	0.27	28.84	29.11		2.05		
P15S-2016-636	P15S	636	6/5/16	7:25	-63.99	-170.06	5.9	2809	0.11	34.09	327.2	51.23	0.27	28.65	28.92	0.68	2.05		
P15S-2016-6625	P15S	6625	1/6/16	2:07	-36.01	-170	466.1	5055	7.97	34.48	231.6	5.45	0	20.06	20.06		1.38		0.14
P15S-2016-6632	P15S	6632	1/6/16	2:07	-36.01	-170	92.3	5055	15.37	35.28	236.6	0.88	0.13	1.62	1.75	0.01	0.3		0.14
P15S-2016-6633	P15S	6633	1/6/16	2:07	-36.01	-170	66.3	5055	18.2	35.51	232.4	0.33	0	0.02	0.02		0.1		0.14
P15S-2016-6635	P15S	6635	1/6/16	2:07	-36.01	-170	20.1	5055	18.18	35.5	232.7	0.35	0	0.02	0.02		0.1		0.14
P15S-2016-7432	P15S	7432	4/6/16	9:40	-32.5	-169.99	116.1	5540	16.72	35.53	214	0.63	0.07	2.76	2.83		0.31		0.09
P15S-2016-7433	P15S	7433	4/6/16	9:40	-32.5	-169.99	91.2	5540	19.92	35.8	226	0.08	0	0.02	0.02	0.04	0.06		0.09
P15S-2016-7435	P15S	7435	4/6/16	9:40	-32.5	-169.99	20.7	5540	20	35.81	225.4	0.08	0	0.01	0.01		0.05		0.09
P15S-2016-7436	P15S	7436	4/6/16	9:40	-32.5	-169.99	4.9	5540	20.02	35.81	225.4	0.09	0	0.01	0.01	0.01	0.05		0.09
P15S-2016-7833	P15S	7833	5/6/16	13:51	-30.5	-169.99	65.4	5671	21.4	35.88	219.9	0.19	0.01	0	0.01		0.04		0.1
P15S-2016-7834	P15S	7834	5/6/16	13:51	-30.5	-169.99	40.9	5671	21.42	35.87	219.8	0.15	0	0.01	0.01		0.04		0.1
P15S-2016-7836	P15S	7836	5/6/16	13:51	-30.5	-169.99	5.7	5671	21.41	35.88	219.7	0.14	0	0.02	0.02	0	0.04		0.1
P15S-2016-8403	P15S	8403	7/6/16	15:53	-27.27	-170	5546.3	5469	1.12	34.71									0.1
P15S-2016-8426	P15S	8426	8/6/16	15:01	-27.27	-170	498.7	5469	8.7	34.54									0.1
P15S-2016-8434	P15S	8434	8/6/16	15:01	-27.27	-170	76.6	5469	22.33	35.87									0.1
