SampleID	Cruise	Station	Date	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NO3	NOx	NH3	PO4	PAR	Chlorophyll
P15S_2016_231	P15S	231	4/5/16	11:40	-66.33	-170.00	115.80	3314.00	-1.37	34.10	278.70	72.56	0.11	30.72	30.83	0.64	2.14		
P15S_2016_234	P15S	234	4/5/16	8:50	-66.33	-170.01	40.00	3295.00	-1.49	34.07	345.80	63.75	0.22	28.15	28.37		1.98		
P15S_2016_235	P15S	235	4/5/16	8:50	-66.33	-170.01	20.00	3295.00	-1.50	34.07	345.40	63.74	0.22	28.18	28.40		1.98		
P15S_2016_236	P15S	236	4/5/16	11:40	-66.33	-170.00	5.80	3314.00	-1.50	34.07	345.60	63.77	0.22	28.18	28.40	0.51	1.98		
P15S_2016_2601	P15S	2601	15/5/16	20:02	-54.50	-170.00	4902.00	4839.00	0.95	34.70	208.60	123.15	0.00	32.14	32.14		2.24		
P15S_2016_2625	P15S	2625	15/5/16	20:02	-54.50	-170.00	535.30	4839.00	4.32	34.24	228.70	24.64	0.00	29.27	29.27		2.00		
P15S_2016_2632	P15S	2632	15/5/16	23:52	-54.50	-170.00	116.80	4840.00	6.00	34.12	296.00	4.93	0.24	19.78	20.02	0.48	1.43		
P15S_2016_2634	P15S	2634	15/5/16	20:02	-54.50	-170.00	60.30	4839.00	6.06	34.13	295.70	4.92	0.24	19.60	19.84		1.42		
P15S_2016_2635	P15S	2635	15/5/16	20:02	-54.50	-170.00	36.30	4839.00	6.06	34.13	295.70	4.93	0.24	19.61	19.85		1.42		
P15S_2016_2636	P15S	2636	15/5/16	23:52	-54.50	-170.00	8.80	4840.00	6.06	34.13	295.80	4.95	0.25	19.58	19.83	0.47	1.41		
P15S_2016_3120	P15S	3120	17/5/16	8:07	-52.00	-170.08	1001.80	4804.00	3.74	34.34	202.30	40.19	0.00	32.08	32.08		2.20		
P15S_2016_3130	P15S	3130	17/5/16	11:43	-52.00	-170.07	199.70	4794.00	7.60	34.40	264.20	5.23	0.01	18.80	18.81	0.05	1.31		
P15S_2016_3132	P15S	3132	17/5/16	8:07	-52.00	-170.08	99.70	4804.00	7.99	34.28	283.30	2.85	0.28	15.11	15.39		1.14		
P15S_2016_3134	P15S	3134	17/5/16	8:07	-52.00	-170.08	49.20	4804.00	8.05	34.28	282.90	2.77	0.28	14.91	15.19		1.13		
P15S_2016_3136	P15S	3136	17/5/16	11:43	-52.00	-170.07	5.20	4794.00	8.05	34.27	283.50	2.77	0.27	14.85	15.12	0.19	1.13		
P15S_2016_3434	P15S	3434	18/5/16	4:40	-50.50	-170.00	48.90	5056.00	9.41	34.33	276.20	1.73	0.29	11.88	12.17		0.96		
P15S_2016_3436	P15S	3436	18/5/16	8:22	-50.50	-170.02	6.30	5052.00	9.40	34.33	276.20	1.72	0.29	11.89	12.18	0.28	0.96		
P15S_2016_4201	P15S	4201	20/5/16	13:59	-46.72	-170.91	5386.30	5143.00	1.03	34.70	208.20	121.61	0.00	32.17	32.17		2.21		
P15S_2016_4213	P15S	4213	20/5/16	13:59	-46.72	-170.91	1937.50	5143.00	2.69	34.56	171.30	73.75	0.00	34.08	34.08		2.33		
P15S_2016_4220	P15S	4220	20/5/16	13:59	-46.72	-170.91	964.70	5143.00	6.18	34.36	219.00	15.95	0.01	26.25	26.26		1.76		
P15S_2016_4225	P15S	4225	20/5/16	13:59	-46.72	-170.91	464.20	5143.00	8.42	34.52	242.30	4.81	0.01	18.13	18.14		1.25		
P15S_2016_4231	P15S	4231	20/5/16	18:02	-46.71	-170.91	132.80	5144.00	10.91	34.71	251.30	1.70	0.12	8.93	9.05		0.73		
P15S_2016_4233	P15S	4233	20/5/16	13:59	-46.72	-170.91	64.20	5143.00	11.52	34.68	262.90	0.91	0.32	5.63	5.95		0.58		
P15S_2016_4234	P15S	4234	20/5/16	13:59	-46.72	-170.91	40.40	5143.00	11.51	34.68	262.90	0.91	0.31	5.64	5.95		0.58		
P15S_2016_4236	P15S	4236	20/5/16	18:02	-46.71	-170.91	11.10	5144.00	11.50	34.68	262.90	0.92	0.31	5.63	5.94	0.21	0.58		
P15S_2016_433	P15S	433	5/5/16	13:29	-65.00	-170.01	86.10	2841.00	-0.34	34.09	332.20	56.82	0.27	27.92	28.19		2.01		
P15S_2016_434	P15S	434	5/5/16	13:29	-65.00	-170.01	60.90	2841.00	-0.35	34.09	335.20	55.38	0.28	27.88	28.16		2.01		
P15S_2016_436	P15S	436	5/5/16	16:08	-65.00	-169.99	36.70	2835.00	-0.36	34.09	335.10	55.48	0.28	27.90	28.18	0.75	2.02		
P15S_2016_4617	P15S	4617	22/5/16	16:00	-44.52	-173.50	1001.00	3831.00	5.77	34.35	211.70	19.73	0.00	27.47	27.47		1.84		
P15S_2016_4622	P15S	4622	22/5/16	16:00	-44.52	-173.50	500.70	3831.00	8.18	34.49	242.90	5.00	0.01	18.88	18.89		1.28		
P15S_2016_4631	P15S	4631	22/5/16	19:36	-44.52	-173.50	101.10	3856.00	12.55	34.73	257.30	0.45	0.32	3.61	3.93		0.44		
P15S_2016_4632	P15S	4632	22/5/16	16:00	-44.52	-173.50	73.20	3831.00	12.64	34.74	257.60	0.38	0.31	3.22	3.53		0.42		
P15S_2016_4634	P15S	4634	22/5/16	16:00	-44.52	-173.50	25.70	3831.00	12.68	34.73	257.80	0.37	0.31	3.12	3.43		0.41		
P15S_2016_4636	P15S	4636	22/5/16	19:36	-44.52	-173.50	6.10	3856.00	12.64	34.71	257.70	0.37	0.31	3.08	3.39	0.59	0.41		
P15S_2016_5423	P15S	5423	29/5/16	12:44	-41.27	-173.65	565.50	3278.00	8.16	34.51	224.10	6.50	0.00	20.61	20.61		1.42		0.24
P15S_2016_5432	P15S	5432	29/5/16	12:44	-41.27	-173.65	89.10	3278.00	15.37	35.16	241.30	0.37	0.29	0.16	0.45		0.21		0.24
P15S_2016_5433	P15S	5433	29/5/16	12:44	-41.27	-173.65	62.00	3278.00	15.41	35.11	243.00	0.21	0.10	0.03	0.13		0.18		0.24
P15S_2016_5434	P15S	5434	29/5/16	12:44	-41.27	-173.65	39.90	3278.00	15.41	35.11	243.00	0.22	0.09	0.05	0.14		0.18		0.24
