EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,TU,,TU,NMOL/KG,,NMOL/KG,PERCNT,,PERCNT,NMOL/KG,,NMOL/KG,/MILLE,,/MILLE,/MILLE,,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,
  33RR20070204,  I08S,     2,  1,     18,     18,2,20070215,1739,-65.7682,  84.5278, 1241,     94.3,  -1.7409,  34.2634,2,  34.2676,2,    312.9,2,    315.1,2,    64.01,2,    29.55,2,     0.09,2,     2.08,2,    5.256,2,    2.844,2, -999.000,5,   2206.9,2,   2310.4,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     17,     17,2,20070215,1739,-65.7682,  84.5278, 1241,    124.4,  -1.7397,  34.2987,2,  34.3005,2,    311.4,2,    311.1,2,    64.61,2,    30.07,2,     0.09,2,     2.10,2,    5.044,2,    2.798,2, -999.000,5,   2210.6,2,   2313.1,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     16,     16,2,20070215,1739,-65.7682,  84.5278, 1241,    144.3,  -1.7087,  34.3179,2,  34.3199,2,    308.8,2,    309.1,2,    65.21,2,    30.09,2,     0.07,2,     2.10,2,    4.940,2,    2.669,2, -999.000,5,   2212.0,2,   2315.0,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     15,     15,2,20070215,1739,-65.7682,  84.5278, 1241,    174.5,  -1.6415,  34.3399,2,  34.3425,2,    312.4,2,    306.7,2,    65.41,2,    30.39,2,     0.05,2,     2.10,2,    4.934,2,    2.655,2, -999.000,5,   2214.0,2,   2316.1,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     14,     14,2,20070215,1739,-65.7682,  84.5278, 1241,    224.8,  -1.8234,  34.3497,2,  34.3516,2,    320.0,2,    321.3,2,    63.61,2,    30.00,2,     0.01,2,     2.07,2,    5.492,2,    2.968,2, -999.000,5,   2212.4,2,   2317.6,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     13,     13,2,20070215,1739,-65.7682,  84.5278, 1241,    274.8,  -1.5298,  34.3825,2,  34.3849,2,    313.0,2,    304.7,2,    66.81,2,    30.32,2,     0.03,2,     2.10,2,    4.882,2,    2.657,2, -999.000,5,   2217.8,2,   2320.0,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     12,     12,2,20070215,1739,-65.7682,  84.5278, 1241,    325.0,  -1.1639,  34.4242,2,  34.4269,2,    293.8,2,    289.8,2,    70.41,2,    30.61,2,     0.02,2,     2.13,2,    4.328,2,    2.341,2, -999.000,5,   2223.3,2,   2322.8,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     11,     11,2,20070215,1739,-65.7682,  84.5278, 1241,    375.1,  -1.1130,  34.4503,2,  34.4501,2,    292.9,2,    293.2,2,    70.61,2,    30.61,2,     0.02,2,     2.12,2,    4.364,2,    2.389,2, -999.000,5,   2224.2,2,   2324.7,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,     10,     10,2,20070215,1739,-65.7682,  84.5278, 1241,    425.8,  -0.6390,  34.5017,2,  34.5041,2,    271.6,2,    271.3,2,    75.61,2,    30.89,2,     0.02,2,     2.14,2,    3.602,2,    1.930,2, -999.000,5,   2232.5,2,   2327.8,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
  33RR20070204,  I08S,     2,  1,      9,      9,2,20070215,1739,-65.7682,  84.5278, 1241,    475.9,  -0.1495,  34.5579,2,  34.5606,2,    251.3,2,    252.2,2,    81.03,2,    30.99,2,     0.01,2,     2.15,2,    2.803,2,    1.489,2, -999.000,5,   2237.3,2,   2334.1,2,   -999.0,9,  -999.00,9, -999.000,9, -999.000,-999.0000,9,-999.0000,  -999.00,9,  -999.00, -999.000,9, -999.000,   -999.0,9,   -999.0,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9
