DNA_ID,CRUISE,STATION,TYPE,yyyy-mm-ddThh:mm,Longitude [degrees_east],Latitude [degrees_north],BOT DEPTH [METERS],CTDPRS[DBARS],CTDTMP[ITS-90],CTDSAL[PSS-78],CAST TYPE,CAST NO,NISKIN
P16N-S61-N04,P16N,61,B,20060320T08:00,-152,39,5782,254.9,9.3365,34.0623,TRACE METALS,1,4
P16N-S61-N05,P16N,61,B,20060320T08:01,-152,39,5777,203.3,10.0966,34.089,TRACE METALS,1,5
P16N-S61-N06,P16N,61,B,20060320T08:03,-152,39,5781,154.5,10.9078,34.0197,TRACE METALS,1,6
P16N-S61-N08,P16N,61,B,20060320T08:05,-152,39,5778,104.7,11.9518,33.6524,TRACE METALS,1,8
P16N-S61-N11,P16N,61,B,20060320T08:07,-152,39,5777,38.3,12.017,33.6642,TRACE METALS,1,11
P16N-S61-N12,P16N,61,B,20060320T08:08,-152,39,5777,24.9,12.0157,33.6597,TRACE METALS,1,12
P16N-S66-N01,P16N,66,B,20060324T00:26,-152.0004,45.0022,5281,1013.6,3.0835,34.3435,TRACE METALS,3,1
P16N-S66-N03,P16N,66,B,20060324T00:39,-152.0005,45.0022,5277,505.3,4.5122,34.0284,TRACE METALS,3,3
P16N-S66-N04,P16N,66,B,20060324T00:46,-152.0004,45.0021,5331,254.2,6.3475,33.8672,TRACE METALS,3,4
P16N-S66-N05,P16N,66,B,20060324T00:48,-152.0004,45.0022,5329,205.3,6.9927,33.8563,TRACE METALS,3,5
P16N-S66-N06,P16N,66,B,20060324T00:50,-152.0003,45.0021,5364,155.7,7.7128,33.7921,TRACE METALS,3,6
P16N-S66-N08,P16N,66,B,20060324T00:51,-152.0004,45.0022,5275,105.3,7.0729,32.9213,TRACE METALS,3,8
P16N-S66-N11,P16N,66,B,20060324T00:55,-152.0004,45.0022,5274,37.5,7.0922,32.9221,TRACE METALS,3,11
P16N-S66-N12,P16N,66,B,20060324T00:55,-152.0004,45.0022,5275,22.9,7.0964,32.9229,TRACE METALS,3,12
P16N-S72-N01,P16N,72,B,20060326T14:38,-151.9999,50.9998,4972,959.6,2.8673,34.3764,TRACE METALS,2,1
P16N-S72-N03,P16N,72,B,20060326T14:47,-151.9999,50.9998,4970,555,3.5262,34.1734,TRACE METALS,2,3
P16N-S72-N04,P16N,72,B,20060326T14:54,-151.9999,50.9998,5010,278.6,3.9739,33.9534,TRACE METALS,2,4
P16N-S72-N05,P16N,72,B,20060326T14:56,-151.9999,50.9998,4950,227.4,3.9332,33.8603,TRACE METALS,2,5
P16N-S72-N06,P16N,72,B,20060326T14:57,-151.9998,50.9998,4956,178.3,4.0571,33.8143,TRACE METALS,2,6
P16N-S72-N08,P16N,72,B,20060326T15:00,-151.9998,50.9998,4956,108.5,4.1743,33.5434,TRACE METALS,2,8
P16N-S72-N11,P16N,72,B,20060326T15:03,-151.9999,50.9998,4940,42.1,4.5638,32.6655,TRACE METALS,2,11
P16N-S72-N12,P16N,72,B,20060326T15:05,-151.9999,50.9998,4991,22.5,4.5731,32.665,TRACE METALS,2,12
