SampleID	Cruise	Station	Replicate	Date_Time	Day	Month	Year	Time	Latitude	Longitude	Depth	Bottom_Depth	Temperature	Salinity	Oxygen	Silicate	NO2	NOx	NH3	PO4	DOC	TOC	PAR	Chlorophyll	DCM	Season	Longhurst_Short	Longhurst_Long
37	P15S-2016-12820	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	966.8	5685	4.61	34.54	89.5	75.48	0	37.99	NA	2.76	NA	NA	NA	NA	NA	Summer	PEQD	Trades - Pacific Equatorial Divergence Province
38	P15S-2016-12820	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	966.8	5685	4.61	34.54	89.5	75.48	0	37.99	NA	2.76	NA	NA	NA	NA	NA	Winter	PEQD	Trades - Pacific Equatorial Divergence Province
39	P15S-2016-12825	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	465.5	5685	8.57	34.65	84.3	29.46	0	32	NA	2.27	NA	NA	NA	NA	NA	Summer	PEQD	Trades - Pacific Equatorial Divergence Province
40	P15S-2016-12825	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	465.5	5685	8.57	34.65	84.3	29.46	0	32	NA	2.27	NA	NA	NA	NA	NA	Winter	PEQD	Trades - Pacific Equatorial Divergence Province
41	P15S-2016-12832	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	105.5	5685	28.78	35.92	170.9	1.32	0.94	1.64	NA	0.43	NA	NA	NA	NA	NA	Summer	PEQD	Trades - Pacific Equatorial Divergence Province
42	P15S-2016-12832	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	105.5	5685	28.78	35.92	170.9	1.32	0.94	1.64	NA	0.43	NA	NA	NA	NA	NA	Winter	PEQD	Trades - Pacific Equatorial Divergence Province
43	P15S-2016-12833	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	66.1	5685	30.28	34.89	192.1	0.58	0	0.02	NA	0.14	NA	NA	NA	NA	NA	Summer	PEQD	Trades - Pacific Equatorial Divergence Province
44	P15S-2016-12833	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	66.1	5685	30.28	34.89	192.1	0.58	0	0.02	NA	0.14	NA	NA	NA	NA	NA	Winter	PEQD	Trades - Pacific Equatorial Divergence Province
45	P15S-2016-12835	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	19.7	5685	30.3	34.89	192	0.59	0	0.02	NA	0.14	NA	NA	NA	NA	NA	Summer	PEQD	Trades - Pacific Equatorial Divergence Province
46	P15S-2016-12835	P15S	Station_5	A	2016-6-20T01:47:00	20	6	16	01:47:00	-6	-168.75	19.7	5685	30.3	34.89	192	0.59	0	0.02	NA	0.14	NA	NA	NA	NA	NA	Winter	PEQD	Trades - Pacific Equatorial Divergence Province
